prompt,target
"""It would hard to adequately describe the depth of the pain that your appearance caused, not only to Jews and other victims of Nazism, but to any person of moral integrity who knows the history of World War II,"" Zuroff wrote.",not_entailment
"""As some members of his own entourage were able to hear with their own ears, both in Poland and in the Vatican, Karol Wojtyla flagellated himself,"" the book says, using the name the pope was given at birth.",not_entailment
"Piven: Well, I think ""Entourage"" ... this season is the sixth season, and it's I think the most interesting of all of them, and I kind of have the best arc this year.",not_entailment
"Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.",not_entailment
"ATLANTA, Georgia (CNN) -- Jeremy Piven is the kind of guy who can make you laugh just by lifting an eyebrow.",not_entailment
"Katz said Mazare was sending a message ""that to wear Nazi uniforms and to march the Nazi steps is legal and 'in vogue' in Romania.""",not_entailment
"2 leader, Abu Qaswarah, in a raid in the northern city earlier this month.",not_entailment
"Michael Strank, who was born in Czechoslovakia and came to the United States when he was 3, derived U.S. citizenship when his father was naturalized in 1935.",1
"The suspects are believed to be part of terror cells responsible for bombings, torturing of civilians, conducting attacks and warning insurgents about upcoming Iraqi and U.S. military operations, the military said.",not_entailment
England international Steven Gerrard was cleared by a court in Liverpool of affray.,1
"""Obama must know that the change that he talks about is not simply a superficial changing of colors or tactics,"" Larijani said in comments carried by the semi-official Mehr News Agency.",not_entailment
"(CNN) -- Pope John Paul II used to beat himself with a belt and sleep on a bare floor to bring himself closer to Christ, a book published Wednesday says.",1
"Such deals, if confirmed, could help fill the void left by the closing of the Manas Air Base in Kyrgyzstan.",not_entailment
"The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb.",not_entailment
"TEHRAN, Iran (CNN) -- Iran's parliament speaker has criticized U.S. President-elect Barack Obama for saying that Iran's development of a nuclear weapon is unacceptable.",1
Les Paul died Thursday of pneumonia.,1
"Roy Lynn Oakley, 67, of Roane County, Tennessee, appeared in federal court in Knoxville on Thursday.",1
"Berlin, Germany (CNN)  -- A bomb scare that affected about 100 flights at Munich Airport in Germany on Wednesday may have been a false alarm, German police told CNN.",1
Prosecutors said the materials involved have been examined by scientists and posed no threat to people who may have come into contact with them.,not_entailment
"A Tajik government statement said only that the two sides discussed the issue, but a spokesman for the Tajik foreign ministry told CNN that ""practically all issues"" to allow U.S. cargo transit through the country have been resolved.",not_entailment
"The book was written by a Vatican insider, Slawomir Oder, with Italian journalist Saverio Gaeta of the Catholic weekly Christian Family.",1
"(CNN) -- Pope John Paul II used to beat himself with a belt and sleep on a bare floor to bring himself closer to Christ, a book published Wednesday says.",1
"BOSTON, Massachusetts (CNN) -- A 23-year-old medical student pleaded not guilty Monday to an indictment alleging first-degree murder charge in a killing tied to Craigslist.",1
"UNITED NATIONS (CNN)  -- Libyan leader Moammar Gadhafi on Wednesday delivered a lengthy, rambling address in his first appearance before the United Nations -- slamming both the U.N. Security Council and the United States.",not_entailment
"The indictment states that Oakley, ""having possession of, access to and having been entrusted with sections of 'barriers' and associated hardware used for uranium enrichment through the process of gaseous diffusion ... having reason to believe that such data would be utilized to injure the United States and secure an advantage to a foreign nation, did communicate, transmit and disclose such data to another person.""",1
"He broached conspiracy theories, urged probes into U.S. military activities, and took aim at the structure and the actions of the Security Council, in a one-hour and 36-minute speech at the U.N. General Assembly's annual session.",not_entailment
"He was someone who could see what was going to happen 50 years in advance, and very often, he was able to bring his vision to reality and share it with the entire musical community.",not_entailment
"(CNN) -- Pope John Paul II used to beat himself with a belt and sleep on a bare floor to bring himself closer to Christ, a book published Wednesday says.",1
Iraqi officials have said the families were frightened by a series of killings and threats by Muslim extremists ordering them to convert to Islam or face death.,1
The food is so valuable for the community.,not_entailment
The news came as two other central Asian nations -- Tajikistan and Uzbekistan -- reportedly agreed to let U.S. cargo pass through their countries on the way to Afghanistan.,1
"They are really tired of being attacked and having to move,"" said UNHCR's Jorge Holly.",not_entailment
"CNN: What was distinctive about the Gibson Les Paul when it came out, and what remains distinctive about it?",1
"Children's Services said the girl recently wrote down the name ""Amber"" and has responded to it on one occasion, but she has no idea whether it is her true name.",1
Libyan leader Moammar Gadhafi addresses the U.N. General Assembly on Wednesday.,not_entailment
"""We do remain in contact with the government of Kyrgyzstan,"" Yerkin said.",not_entailment
"All planes in the area of Terminal 2, where the incident took place, were evacuated and all luggage was removed, police said.",not_entailment
"Jeremy Piven stars as a used car salesman in ""The Goods.""",1
"Students are also using social media sites such as Twitter, Facebook and MySpace to reach out to their peers and other industry professionals.",not_entailment
"He urged the authorities and the head of Mazare's Social Democrat party to show that message ""will be strongly countermanded.""",not_entailment
"I think we've got to think it through,"" Obama said.",not_entailment
(CNN) -- Two goals in five minutes at the start of extra-time helped defending champions Egypt book their place in the African Nations Cup semifinals with a battling 3-1 victory over Cameroon.,1
"delete tweet!""",not_entailment
"""When they were in use, now over 20 years ago, some of the buildings at ETTP housed facilities used for the enrichment of uranium.""",not_entailment
"The U.N. High Commissioner for Refugees said on Monday that more than 12,000 people have fled militia attacks over the last few days from Sudan's Darfur region to neighboring Chad, still recovering from a recent attempt by rebels there to topple the government.",1
"Gadhafi called for world unity in confronting various world crises, such as climate change and food shortages, but he aimed his ire at the world body and the United States.",1
WASHINGTON (CNN) -- One of the Marines shown in a famous World War II photograph raising the U.S. flag on Iwo Jima was posthumously awarded a certificate of U.S. citizenship on Tuesday.,not_entailment
"Radu Mazare, the mayor of the town of Constanta, wore a Nazi uniform during a fashion show over the weekend.",1
"""I lived with him from 2005 to 2007 and he didn't kill me, but he killed all these girls,"" she said.",1
(CNN) -- Jewish organizations called for a Romanian official to resign and face a criminal investigation after he wore a Nazi uniform during a fashion show over the weekend.,1
