prompt,prompt_len,target
How many passenger trips were made by tram in Melbourne between 2013-2014? | Melbourne is currently building 50 new E Class trams with some already in service in 2014.,47,1
"Constitutional Court also serves as what type of arbiter? | Mali's constitution provides for an independent judiciary, but the executive continues to exercise influence over the judiciary by virtue of power to appoint judges and oversee both judicial functions and law enforcement.",50,1
"The HD capabilities of modern gaming systems has inspired developers to do what? | The HD capabilities of the consoles has influenced some developers to port games from past consoles onto the PS3, Xbox 360 and Wii U, often with remastered or upscaled graphics.",54,0
"What had Aleksei and Filaret been up to at the time of the protest? | On October 28 UAOC faithful, supported by Ukrainian Catholics, demonstrated near St. Sophia’s Cathedral as newly elected Russian Orthodox Church Patriarch Aleksei and Metropolitan Filaret celebrated liturgy at the shrine.",60,0
"What is one purpose of a greenhouse? | Greenhouses convert solar light to heat, enabling year-round production and the growth (in enclosed environments) of specialty crops and other plants not naturally suited to the local climate.",45,0
"When did the Troutman Sanders-Mays & Valentine LLP merger occur? | Richmond is also home to four of the largest law firms in the United States: Hunton & Williams, McGuireWoods, Williams Mullen, and LeClairRyan.",49,1
"Who had taken control of London when Henry III was to be crowned? | This coronation was deemed by the Pope to be improper, and a further coronation was held in the abbey on 17 May 1220.",47,1
"Who is considered the ""father of the computer""? | Considered the ""father of the computer"", he conceptualized and invented the first mechanical computer in the early 19th century.",38,1
"Why did Albert fear speaking in public? | After his closing speech at the British Empire Exhibition at Wembley on 31 October 1925, one which was an ordeal for both him and his listeners, he began to see Lionel Logue, an Australian-born speech therapist.",59,1
"When did Schwarzenegger withdraw from involvement with Planet Hollywood? | Schwarzenegger was a founding celebrity investor in the Planet Hollywood chain of international theme restaurants (modeled after the Hard Rock Cafe) along with Bruce Willis, Sylvester Stallone and Demi Moore.",48,1
"For most Ashkenazi Jews, Yiddish was replaced with what language? | (There are numerous Ashkenazi Jewish anglophones and Russian-speakers as well, although English and Russian are not originally Jewish languages.)",43,1
"What did Victoria suffer from after he pregnancies? | Victoria was so impressed by the relief it gave from the pain of childbirth that she used it again in 1857 at the birth of her ninth and final child, Beatrice, despite opposition from members of the clergy, who considered it against biblical teaching, and members of the medical profession, who thought it dangerous.",75,1
In what year did the central government issue coins? | The coinage issued by the central government mint in 119 BC remained the standard coinage of China until the Tang dynasty (618–907 AD).,46,0
"Firms such as Eli Lilly, Pfizer, and AstraZeneca have settled claims under what act? | One involved Eli Lilly's antipsychotic Zyprexa, and the other involved Bextra.",40,1
"How many cruisers were in Kurita's ""Center Force""? | As they passed Palawan Island after midnight on 23 October the force was spotted, and U.S. submarines sank two cruisers.",43,1
What hides the stubs of a tree's lost limbs from being visible later in its life? | Subsequent growth of wood may completely conceal the stubs which will however remain as knots.,37,0
"What type of system used ceramic water pipes? | These pillars feature artistic imitations of wooden and ceramic building components such as roof tiles, eaves, and balustrades.",34,1
The difference in responses in infant immune systems is the cause of what? | This can be the reason for distinct time frames found in vaccination schedules.,30,0
"Where is the Kuiper belt relative to Neptune? | Much in the same way that Jupiter's gravity dominates the asteroid belt, shaping its structure, so Neptune's gravity dominates the Kuiper belt.",42,1
"What language does phonology as a word come from? | The word phonology comes from the Greek φωνή, phōnḗ, ""voice, sound,"" and the suffix -logy (which is from Greek λόγος, lógos, ""word, speech, subject of discussion"").",61,0
"What do these authors use in the form of proof for credit given to the other religion  ? | Thus, commenting in 1734 on the passage in the Qur'an, ""I have called her Mary; and I commend her to thy protection, and also her issue, against Satan driven away with stones"", George Sale stated: ""It is not improbable that the pretended immaculate conception of the virgin Mary is intimated in this passage.",90,0
"The equipment a player wears is also called a what? | Headgear is not a required piece of basic equipment, but players today may choose to wear it to protect themselves from head injury.",39,1
"Who is a projecting Lady Chapel dedicated to? | In France the eastern end is often polygonal and surrounded by a walkway called an ambulatory and sometimes a ring of chapels called a ""chevet"".",39,1
"Besides the ALU, input and output devices, what are the other two main components of a computer? | These parts are interconnected by buses, often made of groups of wires.",36,1
"What alcohol was regarded as evil when compared to beer? | Young children were often given what was described as small beer, which was brewed to have a low alcohol content, as the local water was often unsafe.",43,1
"How did Gaddafi deal with peer pressure regarding his cultural background? | Education in Libya was not free, but his father thought it would greatly benefit his son despite the financial strain.",37,1
"Who is credited as founding political Zionism? | Although the Zionist movement already existed in practice, Austro-Hungarian journalist Theodor Herzl is credited with founding political Zionism, a movement which sought to establish a Jewish state in the Land of Israel, thus offering a solution to the so-called Jewish Question of the European states, in conformity with the goals and achievements of other national projects of the time.",81,0
"On what date did Queen play their first show? | On 2 July 1971, Queen played their first show in the classic line-up of Mercury, May, Taylor and Deacon at a Surrey college outside London.",48,0
"What was the system Napoleon imposed though the Berlin Decree? | Following his triumph, Napoleon imposed the first elements of the Continental System through the Berlin Decree issued in November 1806.",39,1
How much does the NES unit weigh in pounds? | The unit itself weighs approximately 11.7 pounds without a TV.,27,0
"Were other mathematicians amazed by von Neumann? | Paul Halmos states that ""von Neumann's speed was awe-inspiring.""",26,0
Where is hydrogen highly soluble? | Hydrogen is highly soluble in many rare earth and transition metals and is soluble in both nanocrystalline and amorphous metals.,31,0
What season is considered short in Charleston? | Summer is the wettest season; almost half of the annual rainfall occurs from June to September in the form of thundershowers.,37,1
"Analysis by what organization detailed that municipality-based rankings may be inaccurate? | However, an analysis by the Regional Data Cooperative for Greater New Haven, Inc., has shown that due to issues of comparative denominators and other factors, such municipality-based rankings can be considered inaccurate.",56,0
Why are smoking bans in place? | Dietary restrictions during pregnancy or when breast feeding have not been found to be effective and thus are not recommended.,30,1
"In what year did the earthquake in Sichuan occur? | China Standard Time at epicenter (06:28:01 UTC) on May 12 in Sichuan province, killed 69,197 people and left 18,222 missing.",58,1
"What investor bought Iscar? | Since the 1970s, Israel has received military aid from the United States, as well as economic assistance in the form of loan guarantees, which now account for roughly half of Israel's external debt.",52,1
"What color did Iraq War protesters paint the A? | This was followed by a paint scuffle where the ""A"" was painted various colors until the city council intervened.",35,1
"When did settlements appear in Madhya Pradesh? | The first confirmed semipermanent settlements appeared 9,000 years ago in the Bhimbetka rock shelters in modern Madhya Pradesh, India.",39,0
"What did the state council set up in 2008? | The plan is to arrange 19 eastern and central province and municipalitie to help 18 counties, on ""one province to one affected county"" basis.",49,1
"When did the word Anglican begin? | As the name suggests, the communion is an association of churches in full communion with the Archbishop of Canterbury.",30,1
Why did Blacks move to Detroit in the middle if the 20th century? | From the 1940s to the 1970s a second wave of Blacks moved to Detroit to escape Jim Crow laws in the south and find jobs.,55,0
"When did the sixth season of Digimon begin airing? | It began airing in Japan on TV Asahi from July 6, 2010 onwards.",33,0
"Who was Cabinet Minister in 1998? | Cabinet Minister Peter Mandelson was ""outed"" by Matthew Parris (a former Sun columnist) on BBC TV's Newsnight in November 1998.",47,0
"What is Dr. Yashwant Singh Parmar University earned? | Further, state-run Jawaharlal Nehru Government Engineering College started in 2006 at Sundernagar.",37,1
"What is Beyonce's full name? | Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress.",55,0
"What French Magazine cover did the media criticize? | A statement released from a spokesperson for the magazine said that Beyoncé's look was ""far from the glamorous Sasha Fierce"" and that it was ""a return to her African roots"".",48,1
"Who filed the lawsuits against the Universities? | On November 17, 2014, Students for Fair Admissions, an offshoot of the Project on Fair Representation, filed lawsuits in federal district court challenging the admissions practices of Harvard University and the University of North Carolina at Chapel Hill.",60,0
"Where is the Eagle and Child located? | The Eagle and Child and the Lamb and Flag, Oxford, were regular meeting places of the Inklings, a writers' group which included J. R. R. Tolkien and C. S. Lewis.",52,0
"At the last census how many households had children under 18 in them? | In 2013, the percentage of women who gave birth in the previous 12 months who were unmarried was 56 percent.",48,1
"During the 2010 United States Census what percentage of Atlantic City's population was White? | The racial makeup of the city was 26.65% (10,543) White, 38.29% (15,148)",62,0
"How do gases prevent evaporation of the filament? | The presence of gas molecules knocks the liberated tungsten atoms back to the filament, reducing its evaporation and allowing it to be operated at higher temperature without reducing its life (or, for operating at the same temperature, prolongs the filament life).",58,0
"In 2013, how many people of Puerto Rican ancestry lived in New York City? | Ecuador, Colombia, Guyana, Peru, and Brazil were the top source countries from South America for legal immigrants to the New York City region in 2013; the Dominican Republic, Jamaica, Haiti, and Trinidad and Tobago in the Caribbean; Egypt, Ghana, and Nigeria from Africa; and El Salvador, Honduras, and Guatemala in Central America.",93,1
"How must Whiteheads cosmology now be considered? | Consequently, Whitehead's cosmology must be regarded as a local approximation, and his assumption of a uniform spatio-temporal geometry, Minkowskian in particular, as an often-locally-adequate approximation.",53,0
What is MPI an abbreviation for? | The Multidimensional Pain Inventory (MPI) is a questionnaire designed to assess the psychosocial state of a person with chronic pain.,33,0
"What linguistic event in English could we parallel with the Dutch lowering of diphthongs? | Stroop theorizes that the lowering of open-mid to open diphthongs is a phonetically ""natural"" and inevitable development and that Dutch, after having diphthongised the long high vowels like German and English, ""should"" have lowered the diphthongs like German and English as well.",79,1
What is specifically produced for collectors? | Future minting of such coins will be made solely for collectors.,22,1
"where does the great plains lie? | The Great Plains is the broad expanse of flat land (a plain), much of it covered in prairie, steppe and grassland, that lies west of the Mississippi River tallgrass prairie states and east of the Rocky Mountains in the United States and Canada.",58,0
"When did the idea of a ""consumer society"" begin? | The origins of the department store lay in the growth of the conspicuous consumer society at the turn of the 19th century.",40,0
"The British government detained who in Saint Helena? | In 1815, the British government selected Saint Helena as the place of detention of Napoleon Bonaparte.",33,0
"What was it once considered socially advantageous to do? | In addition, social conditions have changed and many multiracial people do not believe it is socially advantageous to try to ""pass"" as white.",40,0
How is the public made aware of ITP applications? | A notice of the permit application action is published in the Federal Register and a public comment period of 30 to 90 days begins.,42,0
"What article did BBC put out about China just days earlier? | Several days earlier, the BBC had published an article entitled ""The challenges of reporting in China"", responding to earlier criticism.",38,0
Why did the Grand Orient de France conclude that Freemasonry shouldn't require religious belief? | It is possible that the immediate objections of the United Grand Lodge of England were at least partly motivated by the political tension between France and Britain at the time.,52,1
"For the majority of Dell's existence, what were they a vendor of? | The company has since made additional acquisitions in storage and networking systems, with the aim of expanding their portfolio from offering computers only to delivering complete solutions for enterprise customers.",50,1
"In which basilica is the Tomb of Julii? | In another great Constantinian basilica, the Church of the Nativity in Bethlehem the original mosaic floor with typical Roman geometric motifs is partially preserved.",39,1
"Besides low gain antennas, what is also used as driven elements in complicated higher gain types of antennas? | Used individually as low gain antennas, dipoles are also used as driven elements in many more complicated higher gain types of antennas.",47,0
"What does Tajikistan mean? | Tajikistan means the ""Land of the Tajiks"".",18,0
What does VASI stand for? | A visual approach slope indicator (VASI) helps pilots fly the approach for landing.,26,0
Which ratios are employed to calculate noise-based speed? | The noise-based speed is defined as the exposure that will lead to a given signal-to-noise ratio on individual pixels.,39,1
"When were the Waldensians created? | Despite that, the movement continues to exist to this day in Italy, as a part of the wider Reformed tradition.",32,1
"What can an exhibition game raise money for? | An exhibition game may also be used to settle a challenge, to provide professional entertainment, to promote the sport, or to raise money for charities.",40,0
What are the two types of Ion gauges? | They come in two types: hot cathode and cold cathode.,23,0
"What did authors and artists begin advocating for instead of the underground scene? | Writers like Paul Morley began advocating ""overground brightness"" instead of the experimental sensibilities promoted in early years.",37,0
"What did the city hall used to be known as? | As for French Neo-classicism, it is the Opera House on Place Broglie that most prestigiously represents this style.",38,1
What country did the cotton come from that was picked by children? | Anti-Slavery International and the Environmental Justice Foundation (EJF) accused H&M and Zara of using cotton suppliers in Bangladesh.,42,0
"which crops were brought to europe from the Muslim World? | There was also a dense network of trade routes in the Mediterranean, along which Muslim countries traded with each other and with European powers such as Venice, Genoa and Catalonia.",46,1
"What are examples of popular percussive instruments of Native Americans? | Native American music in North America is almost entirely monophonic, but there are notable exceptions.",34,1
"On May 3, 1856, how many Pitcairners left for Norfolk Island? | On 8 June 1856, the next settlement began on Norfolk Island.",41,1
"What happened to the kingdom of Hanover in 1866? | Thus, Hanover passed to William IV's brother, Ernest Augustus, and remained a kingdom until 1866, when it was annexed by Prussia during the Austro-Prussian war.",55,0
"How many ""land banks"" and building societies collapsed during the 1890s depression in Melbourne? | A brash boosterism that had typified Melbourne during this time ended in the early 1890s with a severe depression of the city's economy, sending the local finance and property industries into a period of chaos during which 16 small ""land banks"" and building societies collapsed, and 133 limited companies went into liquidation.",96,0
"What do unstressed vowels reduce to in Western Catalan? | In Western Catalan, unstressed vowels reduce to five: /e ɛ/ > [e]; /o ɔ/ > [o]; /a",43,0
"In which wave of neoclassical was the greek revival in France? | First-hand evidence of Greek architecture was of very little importance to the French, due to the influence of Marc-Antoine Laugier's doctrines that sought to discern the principles of the Greeks instead of their mere practices.",59,1
What was the correction due to? | The motivation for the reform was to bring the date for the celebration of Easter to the time of the year in which it was celebrated when it was introduced by the early Church.,44,1
"Minority leader may appoint individuals to what government roles? | The minority leader also has other institutional duties, such as appointing individuals to certain federal entities.",31,0
"Beyonce's mother worked in what industry? | Beyoncé Giselle Knowles was born in Houston, Texas, to Celestine Ann ""Tina"" Knowles (née Beyincé), a hairdresser and salon owner, and Mathew Knowles, a Xerox sales manager.",52,0
"What type of music does Kraftwerk make? | German artists also make up a large percentage of Industrial music acts, which is called Neue Deutsche Härte.",32,1
"Who work in the style of carving a traditional seal in the script? | The seal script, as the name suggests, is now used only in artistic seals.",33,1
"What became the administrative boundary between Israel and occupied territories? | Jerusalem's boundaries were enlarged, incorporating East Jerusalem, and the 1949 Green Line became the administrative boundary between Israel and the occupied territories.",44,0
"At the beginning of the Premier League how many foreign players were there for the first  round of games? | At the inception of the Premier League in 1992–93, just eleven players named in the starting line-ups for the first round of matches hailed from outside of the United Kingdom or Ireland.",66,0
"What was the name of the first single-chip microprocessor? | While the subject of exactly which device was the first microprocessor is contentious, partly due to lack of agreement on the exact definition of the term ""microprocessor"", it is largely undisputed that the first single-chip microprocessor was the Intel 4004, designed and realized by Ted Hoff, Federico Faggin, and Stanley Mazor at Intel.",83,0
"Along with William James, who was an influential 19th century theorist? | In the late 19th century, the most influential theorists were William James (1842–1910) and Carl Lange (1834–1900).",59,0
"What was lacking in the presentation of religious events in Rome? | In the later Empire under Christian rule, the new Christian festivals were incorporated into the existing framework of the Roman calendar, alongside at least some of the traditional festivals.",46,1
"Who spread Buddhist texts in East Asia? | Translators, including monks who spread Buddhist texts in East Asia, and the early modern European translators of the Bible, in the course of their work have shaped the very languages into which they have translated.",50,0
How does Whitehead describe religion as world-loyalty? | Religion is world-loyalty.,18,1
"What was historically disputed about vacuums? | Following Plato, even the abstract concept of a featureless void faced considerable skepticism: it could not be apprehended by the senses, it could not, itself, provide additional explanatory power beyond the physical volume with which it was commensurate and, by definition, it was quite literally nothing at all, which cannot rightly be said to exist.",75,1
"What was the new name of the university when it reopened in 1872? | The University, founded in 1567 and suppressed during the French Revolution as a stronghold of German sentiment,[citation needed] was reopened in 1872 under the name Kaiser-Wilhelms-Universität.",65,0
"What ultimately convinced Hitler that Raeder was right? | Eventually, he convinced Hitler of the need to attack British port facilities.",26,1
"Pyometra usually affects what type of female dog? | Both of these are acute conditions, and can kill rapidly.",24,1
"When did Clark make his debut? | The bear cub itself was used in the clubs since the early 1900s and was the inspiration of the Chicago Staleys changing their team's name to the Chicago Bears, due to the Cubs allowing the football team to play at Wrigley Field in the 1930s.",71,1
"Which British Prime Minister recognized the Dominions' contributions in 1917? | The British declaration of war on Germany and its allies also committed the colonies and Dominions, which provided invaluable military, financial and material support.",47,1
What did Amer do without Nasser's approval? | Nasser still felt that the US would restrain Israel from attacking due to assurances that he received from the US and Soviet Union.,36,1
What percent reduction of greenhouse gases does Mayor de Blasio want to see by 2050? | The city government was a petitioner in the landmark Massachusetts v. Environmental Protection Agency Supreme Court case forcing the EPA to regulate greenhouse gases as pollutants.,51,1
"Harper Lee has stated that To Kill a Mockingbird is not what genre of book? | As in the novel, a black housekeeper came daily to care for the Lee house and family.",38,1
"Where was the Indo-Aryan culture located? | The Vedic culture is described in the texts of Vedas, still sacred to Hindus, which were orally composed in Vedic Sanskrit.",36,1
"People have been wondering about the nature of matter for the entire history of what branch of science? | The idea that matter was built of discrete building blocks, the so-called particulate theory of matter, was first put forward by the Greek philosophers Leucippus (~490 BC) and Democritus (~470–380 BC).",71,1
"When was the program necessary to crawl and archive the web created? | In 1996 Brewster Kahle, with Bruce Gilliat, developed software to crawl and download all publicly accessible World Wide Web pages, the Gopher hierarchy, the Netnews (Usenet) bulletin board system, and downloadable software.",64,0
"The symmetry group of the general theory of relativity includes what? | The symmetry group of the general theory of relativity includes all differentiable transformations, i.e., all properties of an object are dynamical, in other words there are no absolute objects.",49,0
"How did The Sun feel about the Poll tax? | The Sun remained loyal to Thatcher right up to her resignation in November 1990, despite the party's fall in popularity over the previous year following the introduction of the Poll tax (officially known as the Community Charge).",58,1
"When did the People's Republic of China take control of Mainland China? | After the People's Republic of China took control of Mainland China in 1949, the Republic of China government based in Taiwan continued to control the Dachen Islands off the coast of Zhejiang until 1955, even establishing a rival Zhejiang provincial government there, creating a situation similar to Fujian province today.",83,0
"When was the term ""Early Modern"" implemented into the English language? | The term ""Early Modern"" was introduced in the English language in the 1930s.",37,0
"What year did data for the Oakland Growth Study stop being collected? | Data collection began in 1932 and continued until 1981, allowing the researchers to gather longitudinal data on the individuals that extended past adolescence into adulthood.",50,0
"What figures restore health? | Link and Toon Link replenish arrows, Zelda and Sheik restore Link's health, and Ganondorf causes Link to take twice as much damage.",36,0
"What are dimethylzinc, dietylzinc and diphenylzinc? | Commercially available diorganozinc compounds are dimethylzinc, diethylzinc and diphenylzinc.",36,0
"By 2015, how much did Dell slate to reduce its emissions? | It is listed in Greenpeace’s Guide to Greener Electronics that scores leading electronics manufacturers according to their policies on sustainability, climate and energy and how green their products are.",53,1
"What virtues should samurai not be dismissive of? | ""First of all, a samurai who dislikes battle and has not put his heart in the right place even though he has been born in the house of the warrior, should not be reckoned among one's retainers....",56,1
What war started in 2004? | In May 2005 Bozizé won a presidential election that excluded Patassé and in 2006 fighting continued between the government and the rebels.,46,1
"Before 20th century, what was the form of public transportation in the city? | Horse-drawn steetcars began operating in New Haven in the 1860s, and by the mid-1890s all the lines had become electric.",57,0
"How long is the Greek railway system? | International railway lines connect Greek cities with the rest of Europe, the Balkans and Turkey.",27,1
What two indiginous pre-hispanic culture has survived to this point? | Two aspects of indigenous pre-Hispanic culture that withstood time are chenchule' and inafa'maolek.,41,0
"What kind of aircraft is used to intercept and destroy other aircraft? | Invariably the type is differentiated from other fighter aircraft designs by higher speeds and shorter operating ranges, as well as much reduced ordnance payloads.",43,1
"How many students attended the Bronx public noncharter schools as of 2000? | Education in the Bronx is provided by a large number of public and private institutions, many of which draw students who live beyond the Bronx.",47,1
From whom did Allied leaders switch their support from to Tito? | This resulted in Allied aid being parachuted behind Axis lines to assist the Partisans.,32,1
"Which other carrier joins the USS America in active service? | The first of this class, USS America, is now in active service with another, USS Tripoli, under construction and 9 more are planned.",42,0
"The largest diplomatic enclave in India which contains 19 foreign embassies is located along which promenade? | 19 foreign embassies are located on the nearby Shantipath (Hindi: ""Path of Peace""), making it the largest diplomatic enclave in India.",50,0
When was the Wycliffe Bible translated? | The first great English translation was the Wycliffe Bible (ca.,23,1
What season is black bear hunting allowed? | Montana is home to the Rocky Mountain Elk Foundation and has a historic big game hunting tradition.,28,1
"Radio broadcasts and what help deter corruption? | Mobile telecommunications and radio broadcasting help to fight corruption, especially in developing regions like Africa, where other forms of communications are limited.",36,0
"What do international leagues' friendlies happen in the middle of? | This has on occasion led to disagreement between national associations and clubs as to the availability of players, who could become injured or fatigued in a friendly.",44,1
"Who called American Idol ""the most impactful show in the history of television""? | The success of American Idol has been described as ""unparalleled in broadcasting history"".",33,1
"Politicians who were at the end of their political careers were offered what kind of position with companies they were involved with politically? | Gombeenism refers to an individual who is dishonest and corrupt for the purpose of personal gain, more often through monetary, while, parochialism which is also known as parish pump politics relates to placing local or vanity projects ahead of the national interest.",76,1
"Which country had a flag in 1977 that was only green? | It was the only national flag in the world with just one color and no design, insignia, or other details.",41,1
"How many murders occurred in 2013? | And in 2014, there were 248 homicides, up by one since 2013.",40,1
"Who calls the four immeasurable minds ""four limitless ones""? | The Four Immeasurables are taught as a form of meditation that cultivates ""wholesome attitudes towards all sentient beings.""[web 6][web 7]",46,1
What museum has a branch at the Santa Fe Depot? | The Museum of Contemporary Art San Diego (MCASD) is located in La Jolla and has a branch located at the Santa Fe Depot downtown.,41,0
"The largest diplomatic enclave in India which contains 19 foreign embassies is located along which promenade? | 19 foreign embassies are located on the nearby Shantipath (Hindi: ""Path of Peace""), making it the largest diplomatic enclave in India.",50,0
"What DuPont factory is located in the Richmond area? | These include SunTrust Bank (based in Atlanta), Capital One Financial Corporation (officially based in McLean, Virginia, but founded in Richmond with its operations center and most employees in the Richmond area), and the medical and pharmaceutical giant McKesson (based in San Francisco).",64,1
"What Catholic doctrine do Protestants not believe in? | Because the five solas are the main tenets of the Protestant faith, non-denominational groups and organizations are also considered Protestant.",36,1
"Who comprised Tom's jury? | Scholar Patrick Chura, who suggests Emmett Till was a model for Tom Robinson, enumerates the injustices endured by the fictional Tom that Till also faced.",39,1
"Which port in Melborne is the busiest seaport for containerised and general cargo? | The main passenger airport serving the metropolis and the state is Melbourne Airport (also called Tullamarine Airport), which is the second busiest in Australia, and",49,1
"In what year was streptomycin discovered? | Streptomycin, discovered during a Merck-funded research program in Selman Waksman's laboratory at Rutgers in 1943, became the first effective treatment for tuberculosis.",47,0
How many European countries remained neutral throughout World War II? | Portugal was one of only five European countries to remain neutral in World War II.,29,0
"Who are a few wrestlers who have had memoirs written about them? | Bloodstained Memoirs explored the careers of several pro wrestlers, including Chris Jericho, Rob Van Dam and Roddy Piper.",38,0
"What does wound colonization refer to? | Wound colonization refers to nonreplicating microorganisms within the wound, while in infected wounds, replicating organisms exist and tissue is injured.",35,0
Who was the head of CBS at the time? | RCA Victor Records executive Ted Wallerstein convinced CBS head William S. Paley to buy ARC and Paley made Wallerstein head of the newly acquired record company.,44,0
"What type of people were ousted from Nasser's cabinet? | Nasser responded to the demonstrations, the most significant public challenge to his rule since workers' protests in March 1954, by removing most military figures from his cabinet and appointing eight civilians in place of several high-ranking members of the Arab Socialist Union (ASU).",68,0
"What was the chivalric order established by Edward III in 1348? | The spirit of chivalry was given expression through the new (secular) type of chivalric orders; the first of these was the Order of St. George, founded by Charles I of Hungary in 1325, while the best known was probably the English Order of the Garter, founded by Edward III in 1348.",91,0
"Who requested that Burke support the French Revolution? | On 4 November Charles-Jean-François Depont wrote to Burke, requesting that he endorse the Revolution.",33,0
"How many free people of color lived in NC in 1860? | In addition, 30,463 free people of color lived in the state.",37,0
"What is the internet service provided through? | Serving a population of more than 4,000, this single satellite link is considered inadequate in terms of bandwidth.",35,1
"What individuals live at Fatima House at Notre Dame? | While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching.",36,1
"What does USB compliance specification prohibit? | However, USB compliance specification states that ""use of a 'Y' cable (a cable with two A-plugs) is prohibited on any USB peripheral"", meaning that ""if a USB peripheral requires more power than allowed by the USB specification to which it is designed, then it must be self-powered.""",70,0
"When did Celcil Woodham-Smith also write a well recieved biography about Victoria? | Biographies of Victoria written before much of the primary material became available, such as Lytton Strachey's Queen Victoria of 1921, are now considered out of date.",57,1
"When was the central body of the Grand Orient de France reconstituted? | The Grande Loge de France formed under the Grand Mastership of the Duke of Clermont, who exercised only nominal authority.",39,1
"Who was the nephew of leopold? | William IV, however, disapproved of any match with the Coburgs, and instead favoured the suit of Prince Alexander of the Netherlands, second son of the Prince of Orange.",45,1
What was tyrothricin used for during the war? | It was one of the first commercially manufactured antibiotics universally and was very effective in treating wounds and ulcers during World War II.,38,0
"What was the SAT score, on average, at Notre Dame when Edward Malloy became president? | He increased the faculty by more than 500 professors; the academic quality of the student body has improved dramatically, with the average SAT score rising from 1240 to 1360; the number of minority students more than doubled; the endowment grew from $350 million to more than $3 billion; the annual operating budget rose from $177 million to more than $650 million; and annual research funding improved from $15 million to more than $70 million.",127,0
"The first US satellite was launched on what date? | On April 2, 1958, President Eisenhower reacted to the Soviet space lead in launching the first satellite, by recommending to the US Congress that a civilian agency be established to direct nonmilitary space activities.",56,0
"How would you say ""sons"" in Dutch? | However, even if not considered part of the phonemic opposition, the long/tense vowels are still realised as phonetically longer than their short counterparts.",43,1
"How many series have aired since 2011? | In Japan, Digital Monster X-Evolution, the eighth TV movie, was released on January 3, 2005, and on December 23, 2005 at Jump Festa 2006, the fifth series, Digimon Savers was announced for Japan to begin airing after a three-year hiatus of the show.",87,1
"Why did Feynman give up alcohol? | Feynman gave up alcohol when he began to show vague, early signs of alcoholism, as he did not want to do anything that could damage his brain—the same reason given in ""O Americano, Outra Vez"" for his reluctance to experiment with LSD.",61,0
"When did the Safavid Empire peak? | The Safavid Era peaked in the reign of Abbas the Great, 1587–1629, surpassing their Ottoman arch rivals in strength, and making the empire a leading hub in Western Eurasia for the sciences and arts.",58,0
A mooted 750-line was seen by some at the ITU as what? | It also includes the alternative 1440×1152 HDMAC scan format.,41,1
What is the name of the American Idol theme attraction with Disney? | American Idol also partnered with Disney in its theme park attraction The American Idol Experience.,31,0
How much have Central state enterprises donated? | Central State-owned enterprises have accumulatively donated more than $48.6 million.,29,0
"What did SBVT change its name to? | With the continuing controversy that had surrounded the military service of George W. Bush since the 2000 Presidential election (when he was accused of having used his father's political influence to gain entrance to the Texas Air National Guard, thereby protecting himself from conscription into the United States Army, and possible service in the Vietnam War), John Kerry's contrasting status as a decorated Vietnam War veteran posed a problem for Bush's re-election campaign, which Republicans sought to counter by calling Kerry's war record into question.",118,1
"What are the names of the Conservative synagogues in Richmond? | There are two Conservative synagogues, Beth El and Or Atid.",28,0
"Who is the chief executive of IBM? | It also committed to a $1.2bn plus expansion of its data center and cloud-storage business, including the development of 15 new data centers.",43,1
"Along with Hungary, where did many expelled French Jews relocate to? | The Jews were expelled from Spain in 1492, and dispersed to Turkey, France, Italy, and Holland.",40,1
"what was the prototype of ghetto house? | Another U.S. hit which received radio play was the single ""Time for the Perculator"" by Cajmere, which became the prototype of ghetto house subgenre.",45,0
"Who was executed by the federal government on March 18, 2003? | The Federal Correctional Complex in Terre Haute, Indiana is currently the home of the only death chamber for federal death penalty recipients in the United States, where inmates are put to death by lethal injection.",59,1
"What type of fans is Hangzhou known for? | Longjing tea (also called dragon well tea), originating in Hangzhou, is one of the most prestigious, if not the most prestigious Chinese tea.",40,1
"Was the Chopin family boarding house for male or female students? | In 1827, soon after the death of Chopin's youngest sister Emilia, the family moved from the Warsaw University building, adjacent to the Kazimierz Palace, to lodgings just across the street from the university, in the south annex of the Krasiński Palace on Krakowskie Przedmieście,[n 5] where Chopin lived until he left Warsaw in 1830.[n 6]",98,1
"The largest sector of Greece's economy is what? | Important Greek industries include tourism (with 14.9 million international tourists in 2009, it is ranked as the 7th most visited country in the European Union and 16th in the world by the United Nations World Tourism Organization) and merchant shipping (at 16.2% of the world's total capacity, the Greek merchant marine is the largest in the world), while the country is also a considerable agricultural producer (including fisheries) within the union.",113,1
"How is a digimon reborn? | The data then recomposes itself as a Digi-Egg, which will hatch when rubbed gently, and the Digimon goes through its life cycle again.",39,0
"Which president called for constitutional changes? | The Greek Cypriot leadership believed that the rights given to Turkish Cypriots under the 1960 constitution were too extensive and designed the Akritas plan, which was aimed at reforming the constitution in favour of Greek Cypriots, persuading the international community about the correctness of the changes and violently subjugating Turkish Cypriots in a few days should they not accept the plan.",83,1
"According to what, energy can neither be created nor destroyed by itself? | Energy is subject to a strict global conservation law; that is, whenever one measures (or calculates) the total energy of a system of particles whose interactions do not depend explicitly on time, it is found that the total energy of the system always remains constant.",67,1
